batting_team_enc,bowling_team_enc,venue_enc,over_num,cum_runs,cum_wickets,target,runs_required,balls_remaining,wickets_in_hand,crr,rrr,rrr_crr_delta,batting_team_won,match_id,batting_team,bowling_team,venue
6,0,40,16,186,3,241,55,24,7,11.625,13.75,2.125,0,335983,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
6,0,40,17,191,4,241,50,18,6,11.235294117647058,16.666666666666668,5.43137254901961,0,335983,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
6,0,40,18,198,4,241,43,12,6,11.0,21.5,10.5,0,335983,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
6,0,40,19,207,4,241,34,6,6,10.894736842105264,34.0,23.105263157894736,0,335983,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
3,13,16,0,8,0,130,122,120,10,inf,6.1,-inf,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,1,21,1,130,109,114,9,21.0,5.7368421052631575,-15.263157894736842,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,2,26,1,130,104,108,9,13.0,5.777777777777778,-7.222222222222222,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,3,36,1,130,94,102,9,12.0,5.529411764705882,-6.470588235294118,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,4,48,1,130,82,96,9,12.0,5.125,-6.875,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,5,55,1,130,75,90,9,11.0,5.0,-6.0,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,6,59,1,130,71,84,9,9.833333333333334,5.071428571428571,-4.761904761904763,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,7,71,1,130,59,78,9,10.142857142857142,4.538461538461538,-5.604395604395604,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,8,78,1,130,52,72,9,9.75,4.333333333333333,-5.416666666666667,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,9,86,1,130,44,66,9,9.555555555555555,4.0,-5.555555555555555,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,10,95,1,130,35,60,9,9.5,3.5,-6.0,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,11,100,1,130,30,54,9,9.090909090909092,3.3333333333333335,-5.757575757575758,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,12,111,1,130,19,48,9,9.25,2.375,-6.875,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,13,115,1,130,15,42,9,8.846153846153847,2.142857142857143,-6.703296703296704,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
3,13,16,14,128,1,130,2,36,9,9.142857142857142,0.3333333333333333,-8.809523809523808,0,335984,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
16,10,55,0,10,0,166,156,120,10,inf,7.8,-inf,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,1,11,0,166,155,114,10,11.0,8.157894736842104,-2.8421052631578956,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,2,22,0,166,144,108,10,11.0,8.0,-3.0,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,3,27,0,166,139,102,10,9.0,8.176470588235293,-0.8235294117647065,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,4,37,1,166,129,96,9,9.25,8.0625,-1.1875,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,5,40,1,166,126,90,9,8.0,8.4,0.40000000000000036,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,6,46,1,166,120,84,9,7.666666666666667,8.571428571428571,0.9047619047619042,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,7,54,1,166,112,78,9,7.714285714285714,8.615384615384615,0.9010989010989006,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,8,69,2,166,97,72,8,8.625,8.083333333333334,-0.5416666666666661,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,9,76,3,166,90,66,7,8.444444444444445,8.181818181818182,-0.262626262626263,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,10,80,3,166,86,60,7,8.0,8.6,0.5999999999999996,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,11,94,3,166,72,54,7,8.545454545454545,8.0,-0.545454545454545,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,12,104,3,166,62,48,7,8.666666666666666,7.75,-0.9166666666666661,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,13,109,4,166,57,42,6,8.384615384615385,8.142857142857142,-0.24175824175824268,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,14,118,4,166,48,36,6,8.428571428571429,8.0,-0.4285714285714288,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,15,126,4,166,40,30,6,8.4,8.0,-0.40000000000000036,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,16,136,4,166,30,24,6,8.5,7.5,-1.0,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,17,155,4,166,11,18,6,9.117647058823529,3.6666666666666665,-5.450980392156863,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
16,10,55,18,163,5,166,3,12,5,9.055555555555555,1.5,-7.555555555555555,1,335985,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
8,1,14,0,6,0,111,105,120,10,inf,5.25,-inf,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,1,16,1,111,95,114,9,16.0,5.0,-11.0,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,2,18,2,111,93,108,8,9.0,5.166666666666667,-3.833333333333333,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,3,21,2,111,90,102,8,7.0,5.294117647058823,-1.7058823529411766,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,4,23,3,111,88,96,7,5.75,5.5,-0.25,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,5,26,3,111,85,90,7,5.2,5.666666666666667,0.4666666666666668,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,6,33,3,111,78,84,7,5.5,5.571428571428571,0.07142857142857117,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,7,34,3,111,77,78,7,4.857142857142857,5.923076923076923,1.0659340659340666,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,8,35,3,111,76,72,7,4.375,6.333333333333333,1.958333333333333,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,9,38,3,111,73,66,7,4.222222222222222,6.636363636363637,2.4141414141414144,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,10,49,3,111,62,60,7,4.9,6.2,1.2999999999999998,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,11,64,3,111,47,54,7,5.818181818181818,5.222222222222222,-0.595959595959596,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,12,68,4,111,43,48,6,5.666666666666667,5.375,-0.29166666666666696,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,13,77,4,111,34,42,6,5.923076923076923,4.857142857142857,-1.0659340659340666,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,14,81,4,111,30,36,6,5.785714285714286,5.0,-0.7857142857142856,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,15,87,4,111,24,30,6,5.8,4.8,-1.0,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,16,90,5,111,21,24,5,5.625,5.25,-0.375,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
8,1,14,17,103,5,111,8,18,5,6.0588235294117645,2.6666666666666665,-3.392156862745098,1,335986,Kolkata Knight Riders,Deccan Chargers,Eden Gardens
13,6,46,0,6,0,167,161,120,10,inf,8.05,-inf,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,1,13,1,167,154,114,9,13.0,8.105263157894736,-4.894736842105264,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,2,28,2,167,139,108,8,14.0,7.722222222222222,-6.277777777777778,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,3,42,2,167,125,102,8,14.0,7.352941176470588,-6.647058823529412,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,4,48,3,167,119,96,7,12.0,7.4375,-4.5625,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,5,53,3,167,114,90,7,10.6,7.6,-3.0,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,6,60,3,167,107,84,7,10.0,7.642857142857143,-2.3571428571428568,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,7,65,3,167,102,78,7,9.285714285714286,7.846153846153846,-1.4395604395604407,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,8,76,3,167,91,72,7,9.5,7.583333333333333,-1.916666666666667,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,9,87,3,167,80,66,7,9.666666666666666,7.2727272727272725,-2.3939393939393936,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,10,99,3,167,68,60,7,9.9,6.8,-3.1000000000000005,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,11,102,4,167,65,54,6,9.272727272727273,7.222222222222222,-2.050505050505051,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,12,114,4,167,53,48,6,9.5,6.625,-2.875,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,13,127,4,167,40,42,6,9.76923076923077,5.714285714285714,-4.054945054945056,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,14,142,4,167,25,36,6,10.142857142857142,4.166666666666667,-5.976190476190475,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,15,152,4,167,15,30,6,10.133333333333333,3.0,-7.133333333333333,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,16,154,4,167,13,24,6,9.625,3.25,-6.375,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
13,6,46,17,164,4,167,3,18,6,9.647058823529411,1.0,-8.647058823529411,1,335987,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
3,1,42,0,4,0,143,139,120,10,inf,6.95,-inf,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,1,18,0,143,125,114,10,18.0,6.578947368421052,-11.421052631578949,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,2,30,0,143,113,108,10,15.0,6.277777777777778,-8.722222222222221,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,3,32,1,143,111,102,9,10.666666666666666,6.529411764705882,-4.137254901960784,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,4,37,1,143,106,96,9,9.25,6.625,-2.625,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,5,48,1,143,95,90,9,9.6,6.333333333333333,-3.2666666666666666,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,6,55,1,143,88,84,9,9.166666666666666,6.285714285714286,-2.8809523809523805,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,7,60,1,143,83,78,9,8.571428571428571,6.384615384615385,-2.186813186813186,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
